Date,Open,High,Low,Close,Volume,Adj Close

2004-04-26,1,10907.41,10759.14,5.7701908,4298910000,10829.68

2004-04-23,1,10960.99,10732.27,6.1370145,4284160000,10788.05

2004-04-20,1,10901.96,10759.75,6.509691,3990280000,10835.28

2004-04-17,1,10905.44,10714.03,6.4604254,4025840000,10858.14

2004-04-14,1,10902.52,10776.44,6.7010417,3587860000,10812.04

2004-04-11,1,10897.83,10664.39,6.3945742,4123950000,10860.26

2004-04-08,1,10779.65,10610.12,7.528275,3847850000,10662.42

2004-04-04,1,10829.75,10682.40,7.6678962,3911070000,10739.31

2004-04-01,1,10844.89,10674.83,7.3508479,4175660000,10761.03

2004-03-29,1,10783.51,10594.38,7.0062071,3364080000,10753.62

2004-03-26,1,10689.29,10529.67,6.7709574,4086140000,10607.85

2004-03-23,1,10624.58,10499.43,7.0600385,3364080000,10594.83

2004-03-20,1,10609.21,10453.15,5.8161675,3369840000,10572.73

2004-03-17,1,10622.69,10460.34,6.0280261,4521050000,10526.49

2004-03-14,1,10605.73,10458.45,6.5077463,4521050000,10544.13

2004-03-11,1,10502.80,10376.34,6.3800773,3061160000,10462.77

2004-03-08,1,10515.86,10359.23,6.730575,3387770000,10415.24

2004-03-05,1,10460.50,10318.93,6.4199394,3224640000,10387.01

2004-03-02,1,10448.99,10304.44,7.3152649,3107380000,10340.69

2004-02-27,1,10484.71,10321.92,7.6928673,3534500000,10447.93

2004-02-24,1,10350.98,10211.80,7.2591524,3704210000,10320.10

2004-02-21,1,10305.87,10016.01,6.9917366,4396880000,10269.47

2004-02-18,1,10101.53,9915.73,6.6395631,4038770000,10014.72

2004-02-15,1,10170.10,10005.56,6.9123133,2917990000,10009.73

2004-02-12,1,10176.30,9925.11,5.4602428,4102460000,10150.65

2004-02-09,1,10138.12,9959.17,5.8973763,3646710000,9985.81

2004-02-06,1,10104.18,9925.34,6.3992078,4360190000,10060.06

2004-02-03,1,10170.86,9975.86,6.3071833,4436330000,10040.45

2004-01-31,1,10328.88,10146.18,6.7700757,3210950000,10174.41

2004-01-27,1,10276.13,10131.88,6.2903857,3761570000,10213.62

2004-01-24,1,10412.29,10202.34,7.2688674,4290540000,10271.21

2004-01-21,1,10486.38,10308.83,7.5169345,3724260000,10415.54

2004-01-18,1,10501.67,10297.55,7.1096629,3968210000,10405.85

2004-01-15,1,10354.39,10193.26,6.7223086,3142450000,10302.01

2004-01-12,1,10381.86,10254.18,6.4896774,3328890000,10303.15

2004-01-09,1,10388.37,10222.85,6.7703397,4521050000,10319.95

2004-01-06,1,10631.82,10339.63,5.3134779,4511860000,10378.83

2004-01-03,1,10717.21,10522.63,5.7895059,3979360000,10644.25

2003-12-31,1,10755.66,10618.26,6.2452681,3191630000,10698.75

2003-12-28,1,10688.08,10491.37,5.9678546,3857890000,10653.56

2003-12-25,1,10712.37,10571.60,6.4184934,3685560000,10674.98

2003-12-22,1,10738.48,10583.10,5.98948,4057850000,10680.43

2003-12-19,1,10714.19,10564.18,7.1413001,4071820000,10636.38

2003-12-16,1,10715.21,10468.82,7.4422572,4144180000,10674.38

2003-12-13,1,10528.84,10327.37,6.9097663,4006450000,10465.94

2003-12-10,1,10609.74,10383.45,6.4757794,4612420000,10467.16

2003-12-07,1,10586.36,10445.17,6.4877586,4002390000,10497.88

2003-12-04,1,10632.52,10460.65,6.6043684,4725690000,10537.69

2003-11-30,1,10545.94,10391.02,5.4093004,4009650000,10525.43

2003-11-28,1,10465.19,10237.84,5.6900323,4524570000,10424.62

2003-11-25,1,10391.78,10121.81,6.2717151,4826900000,10322.30

2003-11-21,1,10310.04,10053.85,5.8914304,4747180000,10120.53

2003-11-18,1,10248.20,9973.17,6.4877513,4713280000,10229.96

2003-11-15,1,10213.09,10051.28,5.9411465,4089500000,10154.43

2003-11-12,1,10356.20,10071.63,7.4294212,5297350000,10097.90

2003-11-09,1,10409.49,10216.04,7.6851301,4552470000,10359.31

2003-11-06,1,10423.03,10265.16,7.3972942,4521050000,10366.72

2003-11-03,1,10436.20,10217.55,7.1649414,4640460000,10363.02

2003-10-31,1,10260.62,10121.13,6.8572218,3426990000,10216.27

2003-10-28,1,10226.48,10079.05,7.340783,3506570000,10198.03

2003-10-25,1,10175.02,9987.02,6.1766845,4548460000,10138.99

2003-10-22,1,10029.93,9716.38,6.3012616,4931220000,10018.28

2003-10-19,1,9880.76,9648.26,6.6389836,4691240000,9743.62

2003-10-16,1,9798.19,9603.80,6.7051384,3968500000,9686.48

2003-10-13,1,9834.71,9596.04,6.9590307,6435770000,9732.53

2003-10-10,1,9951.47,9741.07,6.4632355,5067080000,9774.02

2003-10-07,1,10135.72,9786.45,7.7780379,6136700000,9870.30

2003-10-04,1,10246.82,10070.12,7.892809,3896410000,10138.52

2003-10-01,1,10261.10,10039.97,7.5664811,5128840000,10143.81

2003-09-28,1,10314.31,10112.60,7.2263657,4814830000,10152.80

2003-09-25,1,10393.89,10195.81,7.0193784,4526150000,10298.44

2003-09-22,1,10524.78,10276.14,7.2490525,4514380000,10293.52

2003-09-18,1,10627.19,10387.54,5.8356702,4514360000,10442.41

2003-09-16,1,10513.75,10379.60,6.209461,4555360000,10450.64

2003-09-13,1,10479.74,10293.49,6.5924928,4557760000,10434.17

2003-09-09,1,10456.39,10289.37,6.5074896,5002600000,10409.46

2003-09-06,1,10416.11,10192.40,6.6606214,4644490000,10404.77

2003-09-03,1,10354.97,10175.02,6.1960473,4425830000,10190.89

2003-08-31,1,10235.10,10038.31,7.2475029,4059280000,10211.07

2003-08-28,1,10206.61,9901.67,7.5751227,5144780000,10172.53

2003-08-25,1,10093.33,9859.04,7.2987956,5983200000,9899.25

2003-08-22,1,9971.57,9726.33,6.9755986,6192750000,9939.98

2003-08-19,1,10025.84,9798.73,6.8447692,5467560000,9816.49

2003-08-16,1,10249.61,9881.11,7.0993252,6180580000,9931.97

