Date,Open,High,Low,Close,Volume,Adj Close

2004-07-23,1,10907.41,10759.14,1.68,4298910000,10829.68

2004-07-20,1,10960.99,10732.27,1.83,4284160000,10788.05

2004-07-17,1,10901.96,10759.75,2.05,3990280000,10835.28

2004-07-14,1,10905.44,10714.03,2.08,4025840000,10858.14

2004-07-11,1,10902.52,10776.44,1.94,3587860000,10812.04

2004-07-08,1,10897.83,10664.39,2.03,4123950000,10860.26

2004-07-05,1,10779.65,10610.12,2.31,3847850000,10662.42

2004-07-02,1,10829.75,10682.40,1.97,3911070000,10739.31

2004-06-29,1,10844.89,10674.83,2.32,4175660000,10761.03

2004-06-26,1,10783.51,10594.38,2.57,3364080000,10753.62

2004-06-23,1,10689.29,10529.67,2.68,4086140000,10607.85

2004-06-20,1,10624.58,10499.43,2.86,3364080000,10594.83

2004-06-17,1,10609.21,10453.15,2.93,3369840000,10572.73

2004-06-13,1,10622.69,10460.34,2.94,4521050000,10526.49

2004-06-10,1,10605.73,10458.45,2.95,4521050000,10544.13

2004-06-07,1,10502.80,10376.34,2.97,3061160000,10462.77

2004-06-04,1,10515.86,10359.23,2.96,3387770000,10415.24

2004-06-01,1,10460.50,10318.93,3.02,3224640000,10387.01

2004-05-29,1,10448.99,10304.44,3.02,3107380000,10340.69

2004-05-26,1,10484.71,10321.92,3.04,3534500000,10447.93

2004-05-23,1,10350.98,10211.80,3.02,3704210000,10320.10

2004-05-20,1,10305.87,10016.01,2.98,4396880000,10269.47

2004-05-17,1,10101.53,9915.73,2.99,4038770000,10014.72

2004-05-14,1,10170.10,10005.56,3.05,2917990000,10009.73

2004-05-11,1,10176.30,9925.11,2.99,4102460000,10150.65

2004-05-08,1,10138.12,9959.17,2.91,3646710000,9985.81

2004-05-05,1,10104.18,9925.34,2.9,4360190000,10060.06

2004-05-02,1,10170.86,9975.86,2.9,4436330000,10040.45

2004-04-29,1,10328.88,10146.18,3.05,3210950000,10174.41

2004-04-26,1,10276.13,10131.88,3.21,3761570000,10213.62

2004-04-23,1,10412.29,10202.34,3.26,4290540000,10271.21

2004-04-20,1,10486.38,10308.83,3.11,3724260000,10415.54

2004-04-17,1,10501.67,10297.55,3.12,3968210000,10405.85

2004-04-14,1,10354.39,10193.26,3.13,3142450000,10302.01

2004-04-11,1,10381.86,10254.18,3.28,3328890000,10303.15

2004-04-08,1,10388.37,10222.85,3.22,4521050000,10319.95

2004-04-05,1,10631.82,10339.63,3.08,4511860000,10378.83

2004-04-01,1,10717.21,10522.63,2.95,3979360000,10644.25

2004-03-29,1,10755.66,10618.26,3.02,3191630000,10698.75

2004-03-26,1,10688.08,10491.37,3.24,3857890000,10653.56

2004-03-23,1,10712.37,10571.60,3.34,3685560000,10674.98

2004-03-20,1,10738.48,10583.10,3.32,4057850000,10680.43

2004-03-17,1,10714.19,10564.18,3.21,4071820000,10636.38

2004-03-14,1,10715.21,10468.82,3.12,4144180000,10674.38

2004-03-11,1,10528.84,10327.37,3.06,4006450000,10465.94

2004-03-08,1,10609.74,10383.45,3.07,4612420000,10467.16

2004-03-05,1,10586.36,10445.17,3.0,4002390000,10497.88

2004-03-02,1,10632.52,10460.65,3.14,4725690000,10537.69

2004-02-27,1,10545.94,10391.02,3.12,4009650000,10525.43

2004-02-24,1,10465.19,10237.84,3.11,4524570000,10424.62

2004-02-21,1,10391.78,10121.81,3.11,4826900000,10322.30

2004-02-18,1,10310.04,10053.85,3.25,4747180000,10120.53

2004-02-15,1,10248.20,9973.17,3.21,4713280000,10229.96

2004-02-12,1,10213.09,10051.28,3.02,4089500000,10154.43

2004-02-09,1,10356.20,10071.63,2.78,5297350000,10097.90

2004-02-06,1,10409.49,10216.04,2.63,4552470000,10359.31

2004-02-03,1,10423.03,10265.16,2.47,4521050000,10366.72

2004-01-31,1,10436.20,10217.55,2.4,4640460000,10363.02

2004-01-28,1,10260.62,10121.13,2.35,3426990000,10216.27

2004-01-25,1,10226.48,10079.05,2.19,3506570000,10198.03

2004-01-21,1,10175.02,9987.02,2.22,4548460000,10138.99

2004-01-18,1,10029.93,9716.38,2.21,4931220000,10018.28

2004-01-15,1,9880.76,9648.26,2.21,4691240000,9743.62

2004-01-12,1,9798.19,9603.80,2.32,3968500000,9686.48

