,Month,
Deisel Price,Apr 1974,3.95516049383
Deisel Price,Mar 1974,3.92472641975
Deisel Price,Feb 1974,3.73481439619
Deisel Price,Jan 1974,2.96257876543
Deisel Price,Dec 1973,2.52328733459
Deisel Price,Nov 1973,3.55071487603
Deisel Price,Oct 1973,3.3231382716
Deisel Price,Sep 1973,2.64374070248
Deisel Price,Aug 1973,2.70656790123
Deisel Price,Jul 1973,2.36993975309
Deisel Price,Jun 1973,1.8561518595
Deisel Price,May 1973,1.48388090737
Deisel Price,Apr 1973,1.47377014602
Deisel Price,Mar 1973,1.27495274102
Deisel Price,Feb 1973,1.47011183819
Deisel Price,Jan 1973,1.48293233471
Passenger Number,Apr 1974,66743269.72
Passenger Number,Mar 1974,65505587.5537
Passenger Number,Feb 1974,66425824.84
Passenger Number,Jan 1974,66647149.6694
Passenger Number,Dec 1973,65655448.2397
Passenger Number,Nov 1973,64900962.405
Passenger Number,Oct 1973,69295175.5833
Passenger Number,Sep 1973,66439056.84
Passenger Number,Aug 1973,67571815.6806
Passenger Number,Jul 1973,67438911.876
Passenger Number,Jun 1973,65316463.0579
Passenger Number,May 1973,59614891.876
Passenger Number,Apr 1973,56600372.562
Passenger Number,Mar 1973,50362123.0413
Passenger Number,Feb 1973,60870676.44
Passenger Number,Jan 1973,62687335.46
Consumption,Apr 1974,1289.70247934
Consumption,Mar 1974,1315.47024793
Consumption,Feb 1974,1386.28
Consumption,Jan 1974,1380.87438017
Consumption,Dec 1973,1358.29027778
Consumption,Nov 1973,1421.0
Consumption,Oct 1973,1539.05277778
Consumption,Sep 1973,1511.4
Consumption,Aug 1973,1517.84583333
Consumption,Jul 1973,1539.75123967
Consumption,Jun 1973,1534.26280992
Consumption,May 1973,1427.11487603
Consumption,Apr 1973,1398.02892562
Consumption,Mar 1973,1348.28099174
Consumption,Feb 1973,1607.828
Consumption,Jan 1973,1611.233
